timestamp,closed_trade_count,gross_pnl,counterfactual_fee,counterfactual_net_pnl,net_return
2026-05-15,1,1.1028999969999999866,0.0747241649999999970,1.0281758319999999896,0.0010281758319999999896
2026-05-16,0,0,0,0,0
2026-05-17,0,0,0,0,0
2026-05-18,0,0,0,0,0
2026-05-19,0,0,0,0,0
2026-05-20,0,0,0,0,0
2026-05-21,1,1.6685999976000000067,0.0752223420000000015,1.5933776556000000052,0.0015933776556000000052
2026-05-22,1,-0.9909900002999999732,0.1491913215000000060,-1.1401813217999999792,-0.0011401813217999999792
2026-05-23,1,-0.1892834414000000201,0.0749915369999999955,-0.2642749784000000156,-0.0002642749784000000156
2026-05-24,0,0,0,0,0
2026-05-25,0,0,0,0,0
2026-05-26,6,-0.3625399970000000134,0.7490458410000000030,-1.1115858380000000164,-0.0011115858380000000164
2026-05-27,38,-2.7008429375000000536,4.6954852934999999610,-7.3963282310000000146,-0.0073963282310000000146
2026-05-28,2,3.2100600046000000536,0.4321112970000000420,2.7779487076000000116,0.0027779487076000000116
2026-05-29,0,0,0,0,0
2026-05-30,0,0,0,0,0
2026-05-31,0,0,0,0,0
2026-06-01,2,0.745600001999999933,0.981642240000000015,-0.236042238000000082,-0.000236042238000000082
2026-06-02,0,0,0,0,0
2026-06-03,0,0,0,0,0
2026-06-04,0,0,0,0,0
2026-06-05,0,0,0,0,0
2026-06-06,0,0,0,0,0
2026-06-07,0,0,0,0,0
2026-06-08,3,5.049909999299999799,1.470560623499999895,3.579349375799999904,0.003579349375799999904
2026-06-09,2,2.348399996999999933,0.670748309999999985,1.677651686999999948,0.001677651686999999948
2026-06-10,0,0,0,0,0
2026-06-11,2,0.764700005000000000,0.703509225000000030,0.061190779999999970,0.00006119077999999997
2026-06-12,8,9.213149988499999866,3.061593541499999940,6.151556446999999926,0.006151556446999999926
2026-06-13,6,-1.338480000600000000,2.102055927000000000,-3.440535927600000000,-0.003440535927600000
2026-06-14,0,0,0,0,0
2026-06-15,3,-6.132080004799999933,1.231731504000000045,-7.363811508799999978,-0.007363811508799999978
2026-06-16,0,0,0,0,0
2026-06-17,1,-0.47600000,0.21712740,-0.69312740,-0.0006931274
2026-06-18,4,-7.715154274099999933,1.149399445499999985,-8.864553719599999918,-0.008864553719599999918
2026-06-19,9,6.165999998600000134,2.610759537000000000,3.555240461600000134,0.003555240461600000134
2026-06-20,1,-1.5985000038,0.2174183790,-1.8159183828,-0.0018159183828
2026-06-21,12,-7.743339984400000067,3.804659471999999955,-11.547999456400000022,-0.011547999456400000022
2026-06-22,3,-2.215039995000000067,1.599443393999999955,-3.814483389000000022,-0.003814483389000000022
2026-06-23,1,-2.615849713000000067,0.252540014999999985,-2.868389728000000052,-0.002868389728000000052
2026-06-24,2,1.068000000000000067,0.436548000000000015,0.631452000000000052,0.000631452000000000052
2026-06-25,0,0,0,0,0
2026-06-26,0,0,0,0,0
